id,author,thumbsup,text,# of replies,replies
Ugy4RpuyuHCiq6Lj_8B4AaABAg,CBS News,1,Click here for more world news: https://youtube.com/playlist?list=PLEb3ThbkPrFaxsdGO6vYLwCI8O27GdEKY,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
Ugz2nww5rp6bmA86Xt14AaABAg,Foo Cortez,0,"what a great accomplishment, UK!  Surely electing a dark-skinned man is the key to fixing your country!  🤣🤣👍",0,[]
UgwIJbvA_JidBhZxfXt4AaABAg,Roc,0,Another suit pretending to represent the people.,0,[]
Ugxq4KYBZpROL_OqY-B4AaABAg,SHINE - on -TV,0,This is the man from the world economic forum pushing for digital currency scary these people are.,0,[]
UgwbF45YM0RCCSVK-UV4AaABAg,Bill Paul,0,"Congratulations! Celebrate Dipavali at 10 Downing St., inviting all White Supremacists!!",0,[]
UgzxeoPbsbcAx6yN0Qt4AaABAg,MrBakedDaily,0,Never heard of him,0,[]
UgwEDjtIo67J4t4Q50R4AaABAg,Substitute Bodhisattva,0,"Now, it's regime change right in your face, and the stupid brits applaud.
The UK is a country of brain dead beer drinkers.
When will they stick up for themselves? The Elites are jerking their chains endlessly, and they act like it's a roller coaster ride for their amusement.
How far the mighty have fallen. 
Next decades victims of the Elite. UK, you win the idiot prize. 
Play stupid, win stupid prizes. Enjoy the serfdom, you bone heads.",0,[]
UgwMVQp8BDlSV1SZU994AaABAg,Sunil Yadav 09 Vlog,0,Proud of you Rishi Sunak,0,[]
Ugzs7iE-VmOZ1f-m6n94AaABAg,Agnes Korondi,0,"🤣🤣🤣they deserve 😆😆😆😆
The ice cream is licking back
500years looting on the colonies",0,[]
UgzDNcONfwrPWhP6tSh4AaABAg,Big Game,0,I made history 5 minutes ago when I took a leak. That leak will never happen again.,0,[]
UgxWScv2CkgOWVCnd7d4AaABAg,anthony,0,"0""24 First person of color?🤣That saying gets me all the time! He is the first British Asian to be Prime Minister of Britain.",0,[]
UgyXmtBTWSaWCADPfjJ4AaABAg,Paula Thornton,0,It's no big deal o ly poc will. Make it a big deal for the UK it's down hill from now on,0,[]
Ugw3F2hfhATmts2Lq1x4AaABAg,akash1229,0,Terrible news reporting. Did these two just wake up from bed together or just come back from a nooner and eating a big fat burger?,0,[]
UgyLgLZ3voErA52NZ6h4AaABAg,Lily,0,"Loathe the whole "" person of colour"" thing. It's not significant  best man for the job is all",0,[]
Ugzr_B3Mc7frKGQYZPl4AaABAg,Bill Paul,0,sending White Supremacists into their caves !,0,[]
Ugw7zr4pKvM_Srb7lxd4AaABAg,Spyro hawk9293 GameZ,0,Wow best of luck Rishi,0,[]
Ugw3omgYo20GvT5du_R4AaABAg,Paula Thornton,0,Sunak being PM is all he is after making history. All about him nothing to do with the UK,0,[]
UgzliXtDdNwQ9d_ddcx4AaABAg,ZippyMufo,1,The fact that he's a POC isn't really relevant given that he's a clueless billionaire.,0,[]
UgzufSRTSX8RubAQRkh4AaABAg,Chris Andersen,1,Good for him. But is he openly gay? You gotta check all the boxes.,0,[]
Ugy_A2NvycTfHbNsh6Z4AaABAg,Seema2022,1,"It looks like some Far right-wingies on this side of the pond are not liking what they see happen in the UK. 
🪔🪔🪔",0,[]
UgxoJnlD9sCAI_iMwwB4AaABAg,Albert Oswald,2,"Does anybody else excited about the day when all these ""firsts"" are over and done with and we can choose people for the excellence of their policy ideas, competence in governing and other seemingly far fetched concepts like that?🤔",1,[]
UgzySV9H0VP8wPOek314AaABAg,ThreeAndAHalf,0,The weele is spining indian colony 2022,0,[]
UgxGnWv_eY0WuMZeWEZ4AaABAg,Nidia Luccioni,0,Congratulations 🎈🍾,0,[]
UgzcmNqs9G_DlbkZ9wR4AaABAg,ju west,0,Who cares omg we have enough hate and bs going on over here smh,0,[]
UgzAtQkP-8AnP2WJnpR4AaABAg,jalal rumi,0,Capitalists take care of their stooges,0,[]
UgwYtMyr3y2jmxnrW8N4AaABAg,Jaspa Jones,0,Makes history?  😂,0,[]
UgwNv8t1OdMzrA-6Rfx4AaABAg,vakudibear defender,0,Winston Churchill would be rolling in his grave right now......,0,[]
UgyqBCy3FzlfJ2jPMVF4AaABAg,serekithegreat,1,"Greetings from the United States. What the heck is going on in the U.K.? Why did the most recent Prime Minister quit after only a few weeks in office? Hopefully you guys get it worked out. We have our issues over here too, but the West needs to be strong because China is rising. Good luck. Peace.",0,[]
UgwdwgdZEQk8XxLkpup4AaABAg,Daisy Day,0,Banker’s are running the world,0,[]
UgzzUHdcighLKWv3MjF4AaABAg,learner fast,0,Such difficulty for these news anchors to appreciate this guy's achievement!! Shame on you CBS!!!,0,[]
Ugyt2hLCXV2LkvDyoLZ4AaABAg,Steph Francis,1,"Best, best, decision they have ever made. May God guide and keep him. This is so awesome.",0,[]
Ugz-KvIKihNCZg4beCZ4AaABAg,Green Hornet,0,"Sunak hits all of the WEF buttons: ""Diverse,"" married to a multi-millionaire, and will do nothing to benefit the  citizenry of the UK, who did NOT vote for him. Sunak is in because of a coup d'état. This is NOT democracy.",0,[]
UgzxWBr2C5MbgFO8GZt4AaABAg,Victor,0,He's basically the brittish version of Trump policy wise.,0,[]
UgwpDUwHbaAKpGCCJtp4AaABAg,Dave Mustang,1,"A. why does it matter that he's a poc? he should be being chosen based on his skills
B. the real question here is, will he last longer than the lettuce?",0,[]
Ugz_8-vj38NArX_WdZl4AaABAg,Scoobie6789 Doo,0,another fall guy 😂😂😂,0,[]
Ugwg8k-SG8I2vfw3SP54AaABAg,Vano Vanini,1,CONGRATULATIONS from ARMENIA !!!,0,[]
UgztK9_mCOGShHCiCoF4AaABAg,Tea Tutek,3,Yes go Rishi Sunak,0,[]
UgydpMD2QgRF17H_mYZ4AaABAg,jalal rumi,0,Black or white or Hindi  when you are not on the side of people you are on the side of capitalists,0,[]
UgzHVnI6xqq1q6HuuDB4AaABAg,Haven Birbヘブン,1,Congrats from a fellow Indian brother,0,[]
UgwNOZp2JB_031scBjh4AaABAg,Xx_420_BLZ_IT_xX,1,"Sure, just what we need.  A corrupt world economic formum globalist cronie.",0,[]
Ugy1emDDHLrNkDZZ-aB4AaABAg,Chris Pliskin,0,Let's see how long this one lasts lol,0,[]
UgwqsOVsD3AfzBFfaWV4AaABAg,GermanConquistador08,0,"Britain Conquered India
Now India has Conquered Britain.
Britain has Fallen.",0,[]
UgwxK_d65gX1FJN_qXN4AaABAg,iamtherepairguy,0,"UK is a strong country.  Descending from former members of a colonized nation, he is now the Prime Minister.  Equal opportunities, fair society.  UK does not owe any reparations to anybody.  They provided the English language, and the English way of government and school, all over the world, and it happens to be the dominant way and the most efficient way.",0,[]
Ugx7Hh-uMnxuSsLtc6t4AaABAg,Manish Singh,3,Being successful prior to joining politics is a concern for this news anchors but no one asks when politicians come from nothing who are close to common man and then become multimillionaires.,0,[]
Ugwpr1Qhl3dWdoAcg0Z4AaABAg,928milan,1,So all prior PM were people lacking of color. Got it,0,[]
Ugw2p_3yqRfBESpKoR54AaABAg,Common Sense,1,When all else fails. Affirmative action.,0,[]
Ugwu3oUmyy6ALZDTKox4AaABAg,Albert Matunda,1,This guy cannot become a prime minister in India or Kenya where his parents came from according to the law.He is was born in U.K and deserve that seat according to his qualifications.,0,[]
Ugx2yHcbcfsk9f-rdv54AaABAg,David Caunter,0,Yeeeeeeah…just like the U.S. “made history” installing the WORST VP in the history of this country. 🙄,0,[]
Ugwc0oxrMYnJLaResC14AaABAg,LW1zFog,0,"WEF bankster apparatchik, tasked with enrolling the uk populace into a CBDC, UBI, CCP style social credit ruled nightmare panopticon",0,[]
UgzDWPtxX4wwKgI4hud4AaABAg,abrownsloth,0,Nothing more British than a non-christian guy name Rishi Sunak.,0,[]
UgwuXbGyvKbwBV-DghV4AaABAg,Dire Needs,1,Hey . . . We're gonna need a young hip president who can relate to this guy.,0,[]
UgwgpqemYvNvIjfzrVV4AaABAg,L Hughes,2,"The man was installed, he wasn't voted for. It remains to be seen whether he is for the people or he is following the money. Also can we please stop degrading people by talking about what color they are as if it matters? I don't care if he was pastel purple, what matters is if he can do the job, not the fact that he's brown.",0,[]
UgzGlCGMTJJC3ax3FxV4AaABAg,,0,Another official not elected by the people who’s wedded to WEF. What could possibly go wrong?🙄,0,[]
Ugx4bpj_t7eBDlSEdU54AaABAg,Donte Cooper,0,Why not? Seems like nobody else wants the job.,0,[]
Ugw5IzEcf8EvTMY00Ih4AaABAg,KALI☠️🔥,2,"He is a Rishi, he is up to the task. 🙏",0,[]
UgyBOSC6HoavOmuEBJd4AaABAg,Muffin of doom,0,"Well, yes, he's the first non christian son of immigrants, but he has the same background of private school and oxford as everyone else. So yeah, don't hold your breath.",0,[]
UgxPb_2qDX43EjiYlMl4AaABAg,Mad Dogs & Englishmen,1,Hardly history when the people didn't vote for him,0,[]
UgzSzXgxC1blBv-3RZ14AaABAg,Himalayas,0,Good luck India,0,[]
